time (s),reference,Peltier,x = 0.1cm,x = 2.1cm,x = 6.1cm,x = 14.1cm,x = 30.1cm,x = 62.2cm
2,23.695,24.261,23.538,23.507,23.664,24.041,24.355,24.733
3,23.915,23.915,23.57,23.538,23.664,24.073,24.355,24.733
4,23.947,23.884,23.601,23.538,23.632,24.104,24.355,24.733
5,23.632,24.481,23.57,23.57,23.632,24.073,24.355,24.733
6,23.821,24.355,23.664,23.57,23.664,24.104,24.355,24.701
7,23.978,24.01,23.727,23.632,23.664,24.073,24.355,24.733
8,23.695,24.544,23.695,23.632,23.664,24.073,24.355,24.733
9,23.727,24.638,23.758,23.664,23.664,24.041,24.324,24.701
10,23.978,24.261,23.821,23.695,23.664,24.073,24.324,24.733
11,23.758,24.701,23.758,23.727,23.664,24.073,24.355,24.733
12,23.664,24.89,23.884,23.727,23.664,24.041,24.355,24.733
13,23.915,24.481,23.947,23.758,23.664,24.073,24.355,24.733
14,23.884,24.733,23.947,23.79,23.695,24.073,24.355,24.764
15,23.601,25.204,24.01,23.79,23.695,24.104,24.355,24.67
16,23.853,24.859,24.073,23.821,23.664,24.041,24.355,24.701
17,23.884,24.796,24.104,23.884,23.727,24.073,24.355,24.733
18,23.57,25.393,24.135,23.947,23.727,24.073,24.355,24.733
19,23.79,25.204,24.23,23.947,23.727,24.104,24.387,24.701
20,23.915,24.953,24.261,23.978,23.727,24.073,24.355,24.701
21,23.601,25.613,24.293,24.01,23.758,24.041,24.355,24.701
22,23.664,25.519,24.355,24.073,23.79,24.041,24.355,24.796
23,23.915,25.142,24.387,24.104,23.79,24.073,24.355,24.733
24,23.632,25.645,24.418,24.135,23.79,24.041,24.387,24.733
25,23.632,25.771,24.481,24.135,23.79,24.01,24.387,24.701
26,23.915,25.362,24.576,24.198,23.821,24.041,24.324,24.733
27,23.695,25.802,24.576,24.23,23.821,24.041,24.355,24.796
28,23.632,26.054,24.607,24.261,23.853,24.104,24.355,24.733
29,23.884,25.645,24.733,24.324,23.853,24.073,24.355,24.733
30,23.821,25.865,24.733,24.355,23.853,24.073,24.355,24.733
31,23.538,26.368,24.764,24.387,23.884,24.041,24.355,24.764
32,23.79,26.085,24.859,24.45,23.884,24.104,24.355,24.764
33,23.884,25.896,24.89,24.481,23.915,24.073,24.355,24.733
34,23.601,26.494,24.921,24.513,23.947,24.073,24.355,24.733
35,23.695,26.368,25.047,24.576,23.947,24.104,24.355,24.733
36,23.853,26.117,25.079,24.607,23.978,24.104,24.355,24.733
37,23.601,26.746,25.079,24.638,24.01,24.104,24.355,24.733
38,23.664,26.557,25.204,24.67,24.01,24.073,24.324,24.733
39,23.884,26.274,25.204,24.701,24.041,24.073,24.355,24.764
40,23.632,26.872,25.267,24.764,24.073,24.104,24.355,24.733
41,23.664,26.903,25.33,24.796,24.104,24.073,24.355,24.733
42,23.884,26.494,25.393,24.827,24.073,24.104,24.355,24.733
43,23.695,26.966,25.425,24.921,24.135,24.073,24.355,24.701
44,23.632,27.123,25.487,24.953,24.135,24.104,24.355,24.764
45,23.884,26.683,25.55,24.984,24.167,24.104,24.355,24.764
46,23.664,27.123,25.55,25.016,24.198,24.104,24.355,24.701
47,23.57,27.375,25.645,25.11,24.198,24.167,24.355,24.733
48,23.853,26.966,25.708,25.11,24.23,24.104,24.355,24.733
49,23.758,27.186,25.739,25.142,24.23,24.073,24.355,24.733
50,23.475,27.69,25.771,25.173,24.261,24.135,24.324,24.764
51,23.758,27.312,25.865,25.456,24.261,24.135,24.355,24.733
52,23.821,27.218,25.896,25.267,24.293,24.104,24.324,24.733
53,23.538,27.847,25.928,25.33,24.355,24.104,24.355,24.733
54,23.695,27.69,26.022,25.393,24.355,24.135,24.355,24.733
55,23.821,27.438,26.054,25.393,24.355,24.135,24.387,24.733
56,23.538,28.036,26.085,25.456,24.418,24.167,24.355,24.733
57,23.664,27.941,26.211,25.55,24.418,24.104,24.387,24.733
58,23.853,27.627,26.242,25.55,24.45,24.135,24.355,24.764
59,23.57,28.193,26.242,25.613,24.481,24.198,24.355,24.67
60,23.601,28.225,26.337,25.676,24.481,24.135,24.355,24.733
61,23.884,27.816,26.431,25.676,24.544,24.198,24.355,24.764
62,23.632,28.288,26.4,25.739,24.544,24.167,24.324,24.701
63,23.538,28.571,26.494,25.771,24.607,24.198,24.355,24.764
64,23.853,28.099,26.588,25.833,24.607,24.167,24.355,24.764
65,23.695,28.319,26.588,25.896,24.638,24.167,24.355,24.733
66,23.507,28.823,26.651,25.928,24.638,24.167,24.387,24.733
67,23.727,28.445,26.746,25.959,24.67,24.198,24.355,24.733
68,23.853,28.319,26.777,26.022,24.733,24.198,24.355,24.764
69,23.538,28.917,26.777,26.022,24.733,24.167,24.355,24.764
70,23.664,28.823,26.903,26.117,24.764,24.198,24.355,24.733
71,23.853,28.508,26.934,26.148,24.796,24.198,24.355,24.733
72,23.57,29.075,26.997,26.211,24.827,24.23,24.355,24.764
73,23.601,29.106,27.029,26.242,24.859,24.23,24.355,24.733
74,23.853,28.697,27.123,26.305,24.89,24.261,24.355,24.764
75,23.57,29.138,27.123,26.337,24.921,24.23,24.355,24.764
76,23.57,29.358,27.186,26.368,24.953,24.23,24.355,24.733
77,23.853,28.917,27.281,26.431,24.953,24.293,24.355,24.733
78,23.601,29.295,27.281,26.494,24.984,24.261,24.324,24.733
79,23.538,29.579,27.344,26.525,25.016,24.261,24.355,24.764
80,23.79,29.169,27.406,26.588,25.047,24.261,24.387,24.764
81,23.695,29.39,27.438,26.651,25.079,24.293,24.355,24.764
82,23.475,29.862,27.501,26.651,25.079,24.293,24.355,24.764
83,23.758,29.453,27.595,26.746,25.142,24.293,24.355,24.764
84,23.79,29.421,27.627,26.777,25.142,24.324,24.355,24.764
85,23.538,30.019,27.627,26.809,25.236,24.324,24.355,24.733
86,23.664,29.831,27.721,26.872,25.236,24.355,24.355,24.733
87,23.853,29.547,27.784,26.934,25.267,24.355,24.387,24.733
88,23.538,30.114,27.816,26.966,25.267,24.355,24.355,24.764
89,23.601,30.177,27.91,26.997,25.299,24.355,24.355,24.733
90,23.853,29.736,27.941,27.029,25.33,24.355,24.387,24.764
91,23.601,30.177,27.941,27.092,25.362,24.355,24.355,24.733
92,23.538,30.429,28.036,27.155,25.393,24.387,24.355,24.764
93,23.853,29.956,28.099,27.218,25.425,24.387,24.387,24.764
94,23.695,30.177,28.13,27.249,25.487,24.387,24.387,24.733
95,23.475,30.681,28.193,27.281,25.519,24.418,24.355,24.796
96,23.727,30.366,28.288,27.344,25.519,24.418,24.355,24.733
97,23.79,30.271,28.288,27.375,25.55,24.418,24.355,24.764
98,23.475,30.838,28.319,27.406,25.582,24.418,24.387,24.764
99,23.664,30.681,28.414,27.469,25.613,24.45,24.355,24.764
100,23.821,30.397,28.445,27.532,25.645,24.45,24.355,24.764
101,23.57,30.964,28.477,27.564,25.676,24.45,24.387,24.764
102,23.601,30.964,28.571,27.564,25.739,24.45,24.355,24.764
103,23.821,30.523,28.634,27.658,25.739,24.481,24.387,24.764
104,23.664,31.027,28.634,27.721,25.771,24.481,24.387,24.733
