R_V,R_In,R_Sin,R_I,R_SI,G_V,G_In,G_Sin,G_I,G_SI,B_V,B_In,B_Sin,B_I,B_SI
0,61.6,7.848566748,6.16E-08,0.000248193,0.044,199,14.10673598,0.000000199,0.000446094,0,690,26.26785107,0.00000069,0.000830662
0.045,51.4,7.169379332,5.14E-08,0.000226716,0.138,159.2,12.61744824,1.592E-07,0.000398999,0.118,590,24.2899156,0.00000059,0.000768115
0.121,33.9,5.822370651,3.39E-08,0.00018412,0.213,129.4,11.37541208,1.294E-07,0.000359722,0.207,530,23.02172887,0.00000053,0.000728011
0.148,28.1,5.300943312,2.81E-08,0.000167631,0.314,92.2,9.602083107,9.22E-08,0.000303645,0.337,440,20.97617696,0.00000044,0.000663325
0.191,20,4.472135955,0.00000002,0.000141421,0.4,63.3,7.956129712,6.33E-08,0.000251595,0.443,360,18.97366596,0.00000036,0.0006
0.219,15.1,3.885871846,1.51E-08,0.000122882,0.479,40.4,6.356099433,4.04E-08,0.000200998,0.583,280,16.73320053,0.00000028,0.00052915
0.258,9.7,3.1144823,9.7E-09,9.84886E-05,0.54,25.3,5.029910536,2.53E-08,0.00015906,0.697,205,14.31782106,0.000000205,0.000452769
0.315,4.1,2.024845673,4.1E-09,6.40312E-05,0.61,11.2,3.346640106,1.12E-08,0.00010583,0.781,157.6,12.55388386,1.576E-07,0.000396989
0.406,0.3,0.547722558,3E-10,1.73205E-05,0.688,-0.5,-0.707106781,-5E-10,-2.23607E-05,0.868,107.2,10.35374328,1.072E-07,0.000327414
0.731,-0.9,-0.948683298,-9E-10,-0.00003,0.846,-10.7,-3.271085447,-1.07E-08,-0.000103441,0.961,58.4,7.64198927,5.84E-08,0.000241661
1.063,-0.9,-0.948683298,-9E-10,-0.00003,1.142,-12.9,-3.591656999,-1.29E-08,-0.000113578,1.029,26.2,5.118593557,2.62E-08,0.000161864
,,,,,,,,,,1.089,0,0,0,0
,,,,,,,,,,1.33,-75,-8.660254038,-0.000000075,-0.000273861
,,,,,,,,,,1.5,-85,-9.219544457,-0.000000085,-0.000291548
